api_provider,api_name,type,env_key,env_key_set,configured_in,callers,data_produced,ui_surfaces,status,owner_action_needed
Supabase,supabase-client,SDK,VITE_SUPABASE_URL + VITE_SUPABASE_ANON_KEY,YES,src/lib/supabase.ts,All 115 hooks + all pages,All DB tables,All hubs,LIVE,No
Supabase,auth,SDK,VITE_SUPABASE_URL,YES,src/lib/supabase.ts,"App.tsx AuthProvider, useAuth",user sessions / JWT,All portals (auth gates),LIVE,No
Supabase,realtime-subscriptions,Realtime,VITE_SUPABASE_URL,YES,lib/useSubscription.ts,"account_subscriptions, account_module_access, messages",live tier/module/message updates,Business portal / Brand portal,LIVE,No
Supabase,storage-cms-media,Storage,VITE_SUPABASE_URL,YES,lib/cms/useCmsAssets.ts,"useCmsAssets.ts:92,136, AdminMediaHub.tsx:183",cms_assets / media_library,/admin/cms/media,LIVE,No
Supabase,ai-orchestrator,EdgeFn,OPENAI_API_KEY (server-side),PLACEHOLDER,supabase/functions/ai-orchestrator/index.ts,lib/aiConciergeEngine.ts:164,match_pro_products + LLM answer + user_id,AI concierge across all portals,LIVE (keys placeholder),YES — set OPENAI_API_KEY + SUPABASE_SERVICE_ROLE_KEY in Supabase secrets
Supabase,generate-embeddings,EdgeFn,OPENAI_API_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,lib/mappingEngine.ts:89,vector embeddings for pgvector,Protocol mapping / search,DEAD — not deployed,YES — create + deploy supabase/functions/generate-embeddings/
Supabase,verify-certificate,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useCertificates.ts:66, pages/education/CertificateVerify.tsx:42",certificates table lookup,/certificates/:token/verify,DEAD — not deployed,YES — create + deploy supabase/functions/verify-certificate/
Supabase,create-checkout,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useSubscription.ts:112,132",account_subscriptions / Stripe session,/checkout + plan upgrade modals,DEAD — not deployed,YES — create + deploy supabase/functions/create-checkout/
Supabase,ingredient-search,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,lib/useIngredientSearch.ts:78,ingredients table search results,/ingredients search,DEAD — not deployed,YES — create + deploy supabase/functions/ingredient-search/
Supabase,scorm-runtime,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useScorm.ts:128, pages/education/ScormPlayer.tsx:43","scorm_tracking, scorm_packages",/courses/:slug/play SCORM player,DEAD — not deployed,YES — create + deploy supabase/functions/scorm-runtime/
Supabase,calendar-create-event,EdgeFn,"VITE_GOOGLE_OAUTH_CLIENT_ID, VITE_MICROSOFT_OAUTH_CLIENT_ID",NOT SET,NOT DEPLOYED,pages/business/CrmTasks.tsx:680,"calendar_connections, Google/Microsoft Calendar API",CRM Tasks calendar sync,DEAD — not deployed + keys missing,YES — create OAuth apps + deploy function
Supabase,process-scorm-upload,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/AdminCoursesHub.tsx:155,"scorm_packages, Storage",/admin/courses SCORM upload,DEAD — not deployed,YES — create + deploy supabase/functions/process-scorm-upload/
Supabase,test-api-connection,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/ApiDashboard.tsx:393,api_registry test result,/admin/api-dashboard connection test,DEAD — not deployed,YES — create + deploy supabase/functions/test-api-connection/
Supabase,open-beauty-facts-sync,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/AdminIngredientsHub.tsx:186,ingredients table (sync from OBF API),/admin/ingredients sync button,DEAD — not deployed,YES — create + deploy supabase/functions/open-beauty-facts-sync/
Supabase,validate-discount,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/public/Cart.tsx:24,discount_codes validation result,/cart discount input,DEAD — not deployed,YES — create + deploy supabase/functions/validate-discount/
Supabase,shop-checkout,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/public/Checkout.tsx:79,"orders, order_items, carts",/checkout order creation,DEAD — not deployed,YES — create + deploy supabase/functions/shop-checkout/
Supabase,send-email,EdgeFn,provider key (server-side),UNKNOWN,UNKNOWN — may be remote-only,lib/emailService.ts:14 (raw fetch),Transactional email (welcome/order/plan),Auth + order confirmation flows,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,feed-orchestrator,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,data_feeds → market_signals (via pg_cron),Feed health dashboard,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,ingest-rss,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,"rss_sources, rss_items",Feed pipeline,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,rss-to-signals,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,rss_items → market_signals,Intelligence feed,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,stripe-webhook,EdgeFn,Stripe webhook secret (server-side),UNKNOWN,UNKNOWN — may be remote-only,Stripe platform (webhook),account_subscriptions tier updates,Subscription management,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,market_signals,DB Table,VITE_SUPABASE_URL,YES,lib/intelligence/useIntelligence.ts,"useIntelligence (26 queries), useActionableSignals, useProductSignals",tier-filtered intelligence signals,/intelligence + all portals intelligence tabs,LIVE,No
Supabase,brands,DB Table,VITE_SUPABASE_URL,YES,Direct queries in 41 files,41 files across all portals,brand profiles + products + seed_content,/brands + /brand/* portal,LIVE,No
Supabase,orders,DB Table,VITE_SUPABASE_URL,YES,useShopOrders / direct queries,"useShopOrders, OrderDetail pages",orders + order_items,/order-history + /business/orders + /brand/orders,LIVE,No
Supabase,canonical_protocols,DB Table,VITE_SUPABASE_URL,YES,useProtocols,useProtocols + 27 direct refs,protocol steps + products + mappings,/protocols + business CRM,LIVE,No
Supabase,crm_contacts,DB Table,VITE_SUPABASE_URL,YES,useCrmContacts,useCrmContacts + 17 direct refs,contact CRUD + tags + interactions,/business/crm/*,LIVE,No
Supabase,courses,DB Table,VITE_SUPABASE_URL,YES,useCourses,useCourses + 14 direct refs,course catalog + modules + lessons,/courses + /education,LIVE,No
Supabase,cms_pages,DB Table,VITE_SUPABASE_URL,YES,useCmsPages,useCmsPages + 11 direct refs,published CMS pages,/admin/cms/pages + PageRenderer,LIVE,No
Supabase,appointments,DB Table,VITE_SUPABASE_URL,YES,useBooking,useBooking + 11 direct refs,booking calendar data,/business/booking/*,LIVE,No
Supabase,ingredients,DB Table,VITE_SUPABASE_URL,YES,useIngredients,useIngredients + 12 direct refs,ingredient details + interactions,/ingredients/*,LIVE,No
Supabase,feature_flags,DB Table,VITE_SUPABASE_URL,YES,useFeatureFlag,useFeatureFlag + 6 direct refs,flag values per user/tier/rollout,All hubs (feature gating),LIVE,No
Supabase,audit_logs,DB Table,VITE_SUPABASE_URL,YES,useAuditLogs,useAuditLogs + 6 direct refs,admin action audit trail,/admin/audit-log,LIVE,No
Supabase,ai_credit_ledger,DB Table,VITE_SUPABASE_URL,YES,useCreditBalance,useCreditBalance + 2 direct refs,credit balance + spend history,/business/credits + nav bar (pending API-WO-10),LIVE (display stub),YES — wire balance to nav (API-WO-10)
Supabase,data_feeds,DB Table,VITE_SUPABASE_URL,YES,useDataFeedStats,useDataFeedStats + 8 direct refs,feed health + freshness,/admin/feeds,LIVE,No
Supabase,cms_posts,DB Table,VITE_SUPABASE_URL,YES,"useIntelligencePosts, useCmsPosts","useIntelligencePosts, useCmsPosts + 7 direct refs",intelligence briefs + editorial posts,/intelligence-briefs/* + /blog/*,LIVE,No
Supabase,rss_items,DB Table,VITE_SUPABASE_URL,YES,useRssItems,useRssItems + 2 direct refs,RSS feed items,/insights,LIVE,No
Supabase,job_postings,DB Table,VITE_SUPABASE_URL,YES,useJobPostings,useJobPostings + 5 direct refs,job listings,/jobs (stub — no rows),STUB — table exists but empty,YES — populate table or mark /jobs as DEMO
Supabase,events,DB Table,VITE_SUPABASE_URL,YES,useEvents,useEvents + 3 direct refs,event listings,/events (demo badge present),STUB — table exists but likely empty,YES — populate or confirm DEMO label
Supabase,platform_health,DB Table,VITE_SUPABASE_URL,YES,usePlatformStats,usePlatformStats + 1 direct ref,platform KPIs,/admin/dashboard KPI strip,STUB — table may be empty,YES — verify rows exist (API-WO-12)
Supabase,account_subscriptions,DB Table + Realtime,VITE_SUPABASE_URL,YES,useSubscription,useSubscription + realtime channel,active subscription status,All tier gates,LIVE,No
Supabase,account_module_access,DB Table + Realtime,VITE_SUPABASE_URL,YES,ModuleAccessContext,ModuleAccessContext + realtime channel,module entitlement flags,All ModuleRoute gates (76),LIVE,No
Supabase,claim_brand RPC,RPC,VITE_SUPABASE_URL,YES,pages/claim/ClaimBrand.tsx:75,ClaimBrand.tsx,brand claim ownership record,/claim/brand,LIVE,No
Supabase,claim_business RPC,RPC,VITE_SUPABASE_URL,YES,pages/claim/ClaimBusiness.tsx:76,ClaimBusiness.tsx,business claim ownership record,/claim/business,LIVE,No
Supabase,deduct_credits RPC,RPC,SUPABASE_SERVICE_ROLE_KEY,PLACEHOLDER,lib/analysis/creditGate.ts:115,"creditGate.ts, ai-orchestrator",atomic credit deduction + tenant_balances,AI engine credit gates,LIVE (RPC exists) — but needs keys set,YES — verify keys set so RPC can be called server-side
Supabase,match_protocols RPC,RPC,VITE_SUPABASE_URL,YES,lib/mappingEngine.ts:101,mappingEngine.ts,protocol vector similarity results,Business protocol mapping,LIVE (needs pgvector verified),YES — verify pgvector extension enabled on remote project
Supabase,match_pro_products RPC,RPC,SUPABASE_SERVICE_ROLE_KEY,PLACEHOLDER,supabase/functions/ai-orchestrator/index.ts:87,ai-orchestrator edge fn,similar professional products array,AI concierge responses,LIVE (needs keys set),YES — covered by API-WO-01
Supabase,get_or_create_order_conversation RPC,RPC,VITE_SUPABASE_URL,YES,"pages/brand/OrderDetail.tsx:208, pages/business/OrderDetail.tsx:118","brand/OrderDetail, business/OrderDetail",conversation thread ID,Order detail pages messaging,LIVE,No
Supabase,resolve_return RPC,RPC,VITE_SUPABASE_URL,YES,pages/brand/OrderDetail.tsx:229,brand/OrderDetail.tsx,return resolution record,/brand/orders/:id return flow,LIVE,No
Supabase,request_return RPC,RPC,VITE_SUPABASE_URL,YES,pages/business/OrderDetail.tsx:164,business/OrderDetail.tsx,return request record,/business/orders/:id return flow,LIVE,No
OpenAI,text-embedding-ada-002,HTTP,OPENAI_API_KEY (server-side),PLACEHOLDER,supabase/functions/ai-orchestrator/index.ts:72,ai-orchestrator edge fn,1536-dim vector embedding,AI concierge + match_pro_products,LIVE (key placeholder),YES — set OPENAI_API_KEY in Supabase secrets
OpenAI,gpt-4o,HTTP,OPENAI_API_KEY (server-side),PLACEHOLDER,supabase/functions/ai-orchestrator/index.ts:81,ai-orchestrator edge fn,natural language answer + context,AI concierge responses,LIVE (key placeholder),YES — set OPENAI_API_KEY in Supabase secrets
Stripe,react-stripe-js + stripe-js,SDK,VITE_STRIPE_PUBLISHABLE_KEY,NOT SET,pages/public/Checkout.tsx,Checkout.tsx,Stripe Elements UI + payment intent,/checkout + subscription upgrade,STUB — key missing,YES — set VITE_STRIPE_PUBLISHABLE_KEY + deploy create-checkout + stripe-webhook
Google,Google Calendar OAuth 2.0,OAuth,VITE_GOOGLE_OAUTH_CLIENT_ID,NOT SET,pages/business/CrmTasks.tsx,CrmTasks.tsx,calendar event creation,CRM Tasks calendar sync,DEAD — not configured,YES — create Google OAuth app + set key + deploy calendar-create-event
Microsoft,Microsoft Outlook OAuth 2.0,OAuth,VITE_MICROSOFT_OAUTH_CLIENT_ID,NOT SET,pages/business/CrmTasks.tsx,CrmTasks.tsx,Outlook calendar event,CRM Tasks calendar sync,DEAD — not configured,YES — create Microsoft OAuth app + set key
Open Beauty Facts,REST API,HTTP,None required,N/A,supabase/functions/open-beauty-facts-sync/,open-beauty-facts-sync edge fn (NOT DEPLOYED),ingredients table updates,/admin/ingredients sync,DEAD — edge fn not deployed,YES — deploy open-beauty-facts-sync
Email Provider,send-email (transactional),HTTP,Provider key (server-side),UNKNOWN,supabase/functions/send-email/,lib/emailService.ts:14 (raw fetch),welcome/order/plan emails,Auth + order confirmation,UNKNOWN — function status unverified,YES — confirm deployed or create
Anthropic API,Claude API,HTTP,Not in any env file,N/A,vite.config.ts CSP only,Not used in code,N/A,N/A (future-ready),FUTURE — CSP allows but no usage,No immediate action — future build
